,Cluster_Labels,Suburb_id,Suburb,Postcode,LGA,City,State,area,density,distance,standard_area,standard_density,standard_distance
0,0,0,Abbotsbury,2176,City of Fairfield,Sydney,New South Wales,4.833,879.9917235671427,31.895052505233604,0.18946128069072268,-0.1354235096818992,0.8335967606348733
1,0,1,Abbotsford,2046,City of Canada Bay,Sydney,New South Wales,0.9940000000000001,5405.43259557344,7.682393130415683,-1.2181118897761778,1.5147919611275191,-0.9198949611981713
2,0,2,Acacia Gardens,2763,City of Blacktown,Sydney,New South Wales,0.9570000000000001,3968.652037617555,30.950468150840287,-1.2477823268771546,1.161023464779509,0.78976350934855
3,1,3,Agnes Banks,2753,"City of Hawkesbury, City of Penrith",Sydney,New South Wales,15.722999999999999,57.940596578261136,53.58922004975921,1.1338627343019778,-1.337525523480278,1.6400896425505205
4,0,4,Airds,2560,City of Campbelltown ,Sydney,New South Wales,2.353,1243.5189120271993,42.97793823079208,-0.4692550113735035,0.1087150749645541,1.285413022342524
5,0,5,Alexandria,2015,City of Sydney,Sydney,New South Wales,3.435,2405.240174672489,4.425866382986083,-0.12025714070563998,0.6579735936082349,-1.4306271431768045
6,0,6,Alfords Point,2234,Sutherland Shire,Sydney,New South Wales,3.0869999999999997,1007.1266601878847,21.331981430301024,-0.21864909461851093,-0.043401490690623615,0.2722632682726495
7,0,7,Allambie Heights,2100,Northern Beaches Council,Sydney,New South Wales,6.3629999999999995,1101.5244381581017,12.690641415762295,0.4299357502567456,0.019964908955670827,-0.3746633076053357
8,0,8,Allawah,2218,Georges River Council,Sydney,New South Wales,0.5820000000000001,9804.123711340208,14.280266023862685,-1.5990686001408965,2.3052453613219206,-0.23515837217288313
9,0,9,Ambarvale,2560,City of Campbelltown ,Sydney,New South Wales,2.697,2734.1490545050056,44.334695318619396,-0.3433972893517247,0.779038862752252,1.3343037979076486
10,0,10,Annandale,2038,Inner West Council,Sydney,New South Wales,1.464,6455.601092896176,3.475563382456809,-0.8962861291803971,1.7347243158403327,-1.6256821839466167
11,0,11,Annangrove,2156,The Hills Shire,Sydney,New South Wales,9.913,140.92605669323112,34.587384778505765,0.7933445443555475,-1.055284399268471,0.95329978159774
12,1,12,Arcadia,2159,Hornsby Shire,Sydney,New South Wales,21.759,63.65182223447769,31.28500678574338,1.3493680443979121,-1.3114682787105711,0.8054033878188621
13,0,13,Arncliffe,2205,Bayside Council,Sydney,New South Wales,2.9,3651.7241379310335,9.3760664367793,-0.27634973421002496,1.0716471062804789,-0.7127315530746375
